modified_question,modified_answer,assignment_id,objective,confidence,question,correct_answer,question_type,question_base,evidences,domain,worker_id,evidences_in_min,time_spent,video_link,video_id,time_in_original_video,duration
How does he clean up his cast?,sanding and water,3LS2AMNW5FPN4CLPVVVG8DPTSW8OQ3,I wish to learn about what is going on,high,How does he clean up his cast?,sanding and water,['Reasoning'],['scene'],"[{0: [61.651, 63.232]}, {1: [72.23, 73.994]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['01:01.651', '01:03.232']}, {1: ['01:12.230', '01:13.994']}]",1217.0,https://www.dropbox.com/s/wlie9tuhl5azoug/Survival-Skills-Primitive_0-clip-0.mp4?raw=1,Survival-Skills-Primitive_0-clip-0,"{'frames': {'start': '00:00:00.000', 'end': '00:01:16.000'}, 'seconds': {'start': '0.0', 'end': '76.0'}, 'split-method': 'auto'}",76.0
What type of terrain is it?,Forest,3OJSZ2ATDSVRQKASUHQBZG876BC75K,I wish to learn about the environment,high,What type of terrain is it?,Forest,['Existence'],['scene'],"[{0: [11.339, 13.324]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:11.339', '00:13.324']}]",1003.0,https://www.dropbox.com/s/ow5p9uivd0mww8p/Joe-Robinet_4-clip-0.mp4?raw=1,Joe-Robinet_4-clip-0,"{'frames': {'start': '00:00:00.000', 'end': '00:02:57.177'}, 'seconds': {'start': '0.0', 'end': '177.177'}, 'split-method': 'auto'}",177.177
What time of year is it?,Winter time,3OJSZ2ATDSVRQKASUHQBZG876BC75K,I wish to learn about the environment,high,What time of year is it?,Winter time,['Reasoning'],['scene'],"[{0: [126.15, 132.103]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['02:06.150', '02:12.103']}]",1003.0,https://www.dropbox.com/s/ow5p9uivd0mww8p/Joe-Robinet_4-clip-0.mp4?raw=1,Joe-Robinet_4-clip-0,"{'frames': {'start': '00:00:00.000', 'end': '00:02:57.177'}, 'seconds': {'start': '0.0', 'end': '177.177'}, 'split-method': 'auto'}",177.177
What is the man doing?,Making a tool out of wood,3OJSZ2ATDSVRQKASUHQBZG876BC75K,I wish to learn about the man,high,What is the man doing?,Making a tool out of wood,['Reasoning'],['scene'],"[{0: [1.543, 5.471]}, {1: [42.643, 45.378]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:01.543', '00:05.471']}, {1: ['00:42.643', '00:45.378']}]",1003.0,https://www.dropbox.com/s/kxn4sa9nmrrp84d/Bertram-Craft_5-clip-33.mp4?raw=1,Bertram-Craft_5-clip-33,"{'frames': {'start': '00:40:48.404', 'end': '00:42:16.075'}, 'seconds': {'start': '2448.4042916666663', 'end': '2536.075208333333'}, 'split-method': 'auto'}",87.67091666666693
How is the man making his tool?,Using an axe to chop at it,3OJSZ2ATDSVRQKASUHQBZG876BC75K,I wish to learn about the man,moderate,How is the man making his tool?,Using an axe to chop at it,"['Entity', 'Reasoning']",['scene'],"[{0: [32.543, 36.471]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:32.543', '00:36.471']}]",1003.0,https://www.dropbox.com/s/kxn4sa9nmrrp84d/Bertram-Craft_5-clip-33.mp4?raw=1,Bertram-Craft_5-clip-33,"{'frames': {'start': '00:40:48.404', 'end': '00:42:16.075'}, 'seconds': {'start': '2448.4042916666663', 'end': '2536.075208333333'}, 'split-method': 'auto'}",87.67091666666693
What is the man wearing,Long sleeve thick shirt and pants,3OJSZ2ATDSVRQKASUHQBZG876BC75K,I wish to learn about the man,high,What is the man wearing,Long sleeve thick shirt and pants,['Existence'],['scene'],"[{0: [13.536, 17.183]}, {1: [43.134, 45.869]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:13.536', '00:17.183']}, {1: ['00:43.134', '00:45.869']}]",1003.0,https://www.dropbox.com/s/kxn4sa9nmrrp84d/Bertram-Craft_5-clip-33.mp4?raw=1,Bertram-Craft_5-clip-33,"{'frames': {'start': '00:40:48.404', 'end': '00:42:16.075'}, 'seconds': {'start': '2448.4042916666663', 'end': '2536.075208333333'}, 'split-method': 'auto'}",87.67091666666693
What is he doing?,cutting sticks off a chopped tree,3OJSZ2ATDSVRQKASUHQBZG876BC75K,I wish to learn about the man,high,What is he doing?,cutting sticks off a chopped tree,['Reasoning'],['scene'],"[{0: [18.259, 19.549]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:18.259', '00:19.549']}]",1003.0,https://www.dropbox.com/s/mbbrzen37buxrz7/BC-Bushcraft_5-clip-10.mp4?raw=1,BC-Bushcraft_5-clip-10,"{'frames': {'start': '00:11:28.730', 'end': '00:12:30.750'}, 'seconds': {'start': '688.7297083333333', 'end': '750.75'}, 'split-method': 'auto'}",62.02029166666671
What is the man using for his task?,A hatchet,3OJSZ2ATDSVRQKASUHQBZG876BC75K,I wish to learn about the man,high,What is the man using for his task?,A hatchet,['Existence'],['scene'],"[{0: [40.04, 42.372]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:40.040', '00:42.372']}]",1003.0,https://www.dropbox.com/s/mbbrzen37buxrz7/BC-Bushcraft_5-clip-10.mp4?raw=1,BC-Bushcraft_5-clip-10,"{'frames': {'start': '00:11:28.730', 'end': '00:12:30.750'}, 'seconds': {'start': '688.7297083333333', 'end': '750.75'}, 'split-method': 'auto'}",62.02029166666671
What kind of shelter is there?,A tent,3OJSZ2ATDSVRQKASUHQBZG876BC75K,I wish to learn about the campsite,high,What kind of shelter is there?,A tent,['Existence'],['scene'],"[{0: [54.354, 55.482]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:54.354', '00:55.482']}]",1003.0,https://www.dropbox.com/s/pyd0qiyzq2ifa3y/Bertram-Craft_3-clip-8.mp4?raw=1,Bertram-Craft_3-clip-8,"{'frames': {'start': '00:08:33.440', 'end': '00:09:34.760'}, 'seconds': {'start': '513.44', 'end': '574.76'}, 'split-method': 'auto'}",61.319999999999936
Are there tools around the camp?,"Yes, several",3OJSZ2ATDSVRQKASUHQBZG876BC75K,I wish to learn about the campsite,high,Are there tools around the camp?,Yes several,['Existence'],['scene'],"[{0: [6.524, 8.045]}, {1: [47.535, 48.811]}, {2: [54.452, 56.12]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:06.524', '00:08.045']}, {1: ['00:47.535', '00:48.811']}, {2: ['00:54.452', '00:56.120']}]",1003.0,https://www.dropbox.com/s/pyd0qiyzq2ifa3y/Bertram-Craft_3-clip-8.mp4?raw=1,Bertram-Craft_3-clip-8,"{'frames': {'start': '00:08:33.440', 'end': '00:09:34.760'}, 'seconds': {'start': '513.44', 'end': '574.76'}, 'split-method': 'auto'}",61.319999999999936
What type of terrain is this?,Jungle,3OJSZ2ATDSVRQKASUHQBZG876BC75K,I wish to learn about the environment,moderate,What type of terrain is this?,Jungle,"['Existence', 'Reasoning']",['scene'],"[{0: [38.905, 41.302]}, {1: [60.294, 62.26]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:38.905', '00:41.302']}, {1: ['01:00.294', '01:02.260']}]",1003.0,https://www.dropbox.com/s/lvc0ibmkjrsr7aa/Primitive-Technology_1-clip-8.mp4?raw=1,Primitive-Technology_1-clip-8,"{'frames': {'start': '00:08:43.398', 'end': '00:10:00.225'}, 'seconds': {'start': '523.397875', 'end': '600.224625'}, 'split-method': 'auto'}",76.82674999999995
What kind of structures are there?,A leaf covered wooden shack,3OJSZ2ATDSVRQKASUHQBZG876BC75K,I wish to learn about the environment,high,What kind of structures are there?,A leaf covered wooden shack,"['Existence', 'Reasoning']",['scene'],"[{0: [35.156, 37.86]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:35.156', '00:37.860']}]",1003.0,https://www.dropbox.com/s/lvc0ibmkjrsr7aa/Primitive-Technology_1-clip-8.mp4?raw=1,Primitive-Technology_1-clip-8,"{'frames': {'start': '00:08:43.398', 'end': '00:10:00.225'}, 'seconds': {'start': '523.397875', 'end': '600.224625'}, 'split-method': 'auto'}",76.82674999999995
How many types of fish were caught?,two,3PPTZCWALQJZ3GZWX46XOBWXC0BZQG,I wish to learn about the fish,high,How many types of fish were caught?,two,"['Existence', 'Reasoning']",['scene'],"[{0: [8.087, 12.677]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:08.087', '00:12.677']}]",1136.0,https://www.dropbox.com/s/lamgvr1zqqhv4sy/Joe-Robinet_10-clip-8.mp4?raw=1,Joe-Robinet_10-clip-8,"{'frames': {'start': '00:09:31.537', 'end': '00:10:39.839'}, 'seconds': {'start': '571.5373680795052', 'end': '639.8389030470308'}, 'split-method': 'auto'}",68.30153496752564
What was the color of the perch?,black on top faded to white on bottom,3PPTZCWALQJZ3GZWX46XOBWXC0BZQG,I wish to learn about the fish,high,What was the color of the perch?,black on top faded to white on bottom,['Existence'],['scene'],"[{0: [8.797, 11.584]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:08.797', '00:11.584']}]",1136.0,https://www.dropbox.com/s/lamgvr1zqqhv4sy/Joe-Robinet_10-clip-8.mp4?raw=1,Joe-Robinet_10-clip-8,"{'frames': {'start': '00:09:31.537', 'end': '00:10:39.839'}, 'seconds': {'start': '571.5373680795052', 'end': '639.8389030470308'}, 'split-method': 'auto'}",68.30153496752564
What type of ground is there?,Rocky,3PPTZCWALQJZ3GZWX46XOBWXC0BZQG,I wish to learn about the environment,high,What type of ground is there?,Rocky,['Existence'],['scene'],"[{0: [6.356, 7.7]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:06.356', '00:07.700']}]",1136.0,https://www.dropbox.com/s/8s7erfo9aaib9nw/Joe-Robinet_1-clip-20.mp4?raw=1,Joe-Robinet_1-clip-20,"{'frames': {'start': '00:22:04.823', 'end': '00:23:09.421'}, 'seconds': {'start': '1324.8232803779945', 'end': '1389.4211363359796'}, 'split-method': 'auto'}",64.59785595798508
Is there a body of water around?,yes,3PPTZCWALQJZ3GZWX46XOBWXC0BZQG,I wish to learn about the environment,high,Is there a body of water around?,yes,['Existence'],['scene'],"[{0: [16.279, 19.948]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:16.279', '00:19.948']}]",1136.0,https://www.dropbox.com/s/8s7erfo9aaib9nw/Joe-Robinet_1-clip-20.mp4?raw=1,Joe-Robinet_1-clip-20,"{'frames': {'start': '00:22:04.823', 'end': '00:23:09.421'}, 'seconds': {'start': '1324.8232803779945', 'end': '1389.4211363359796'}, 'split-method': 'auto'}",64.59785595798508
Is the area forested?,Partially,3PPTZCWALQJZ3GZWX46XOBWXC0BZQG,I wish to learn about the environment,high,Is the area forested?,Partially,['Existence'],['scene'],"[{0: [15.348, 17.209]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:15.348', '00:17.209']}]",1136.0,https://www.dropbox.com/s/8s7erfo9aaib9nw/Joe-Robinet_1-clip-20.mp4?raw=1,Joe-Robinet_1-clip-20,"{'frames': {'start': '00:22:04.823', 'end': '00:23:09.421'}, 'seconds': {'start': '1324.8232803779945', 'end': '1389.4211363359796'}, 'split-method': 'auto'}",64.59785595798508
What was being made?,bowls,3PPTZCWALQJZ3GZWX46XOBWXC0BZQG,I wish to learn about the equipment,high,What was being made?,bowls,['Existence'],['scene'],"[{0: [13.843, 15.431]}, {1: [47.681, 49.368]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:13.843', '00:15.431']}, {1: ['00:47.681', '00:49.368']}]",1136.0,https://www.dropbox.com/s/dwbezm2yw8b78sq/Primitive-Technology_11-clip-8.mp4?raw=1,Primitive-Technology_11-clip-8,"{'frames': {'start': '00:08:13.368', 'end': '00:09:15.388'}, 'seconds': {'start': '493.36787499999997', 'end': '555.3881666666666'}, 'split-method': 'auto'}",62.02029166666665
What were the bowls made of?,A metallic substance,3PPTZCWALQJZ3GZWX46XOBWXC0BZQG,I wish to learn about the equipment,high,What were the bowls made of?,A metallic substance,"['Existence', 'Reasoning']",['scene'],"[{0: [9.725, 12.404]}, {1: [46.689, 47.384]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:09.725', '00:12.404']}, {1: ['00:46.689', '00:47.384']}]",1136.0,https://www.dropbox.com/s/dwbezm2yw8b78sq/Primitive-Technology_11-clip-8.mp4?raw=1,Primitive-Technology_11-clip-8,"{'frames': {'start': '00:08:13.368', 'end': '00:09:15.388'}, 'seconds': {'start': '493.36787499999997', 'end': '555.3881666666666'}, 'split-method': 'auto'}",62.02029166666665
What tool was the man making?,Chisel,3PPTZCWALQJZ3GZWX46XOBWXC0BZQG,I wish to learn about the tools,high,What tool was the man making?,Chisel,"['Existence', 'Reasoning']",['scene'],"[{0: [8.985, 9.944]}, {1: [26.702, 28.57]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:08.985', '00:09.944']}, {1: ['00:26.702', '00:28.570']}]",1136.0,https://www.dropbox.com/s/6mw6pkqtulqm5rh/Primitive-Technology_3-clip-1.mp4?raw=1,Primitive-Technology_3-clip-1,"{'frames': {'start': '00:01:02.329', 'end': '00:02:05.425'}, 'seconds': {'start': '62.32893333333333', 'end': '125.42530000000001'}, 'split-method': 'auto'}",63.096366666666675
What was the chisel being used for?,to cut down trees,3PPTZCWALQJZ3GZWX46XOBWXC0BZQG,I wish to learn about the tools,high,What was the chisel being used for?,to cut down trees,['Reasoning'],['scene'],"[{0: [30.942, 32.507]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:30.942', '00:32.507']}]",1136.0,https://www.dropbox.com/s/6mw6pkqtulqm5rh/Primitive-Technology_3-clip-1.mp4?raw=1,Primitive-Technology_3-clip-1,"{'frames': {'start': '00:01:02.329', 'end': '00:02:05.425'}, 'seconds': {'start': '62.32893333333333', 'end': '125.42530000000001'}, 'split-method': 'auto'}",63.096366666666675
What kind of water source was there?,A well,3PPTZCWALQJZ3GZWX46XOBWXC0BZQG,I wish to learn about the camp,moderate,What kind of water source was there?,A well,['Existence'],['scene'],"[{0: [22.617, 25.237]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:22.617', '00:25.237']}]",1136.0,https://www.dropbox.com/s/1i4d8yqyvy7f2ar/Survival-Skills-Primitive_11-clip-0.mp4?raw=1,Survival-Skills-Primitive_11-clip-0,"{'frames': {'start': '00:00:00.000', 'end': '00:01:00.667'}, 'seconds': {'start': '0.0', 'end': '60.666666666666664'}, 'split-method': 'auto'}",60.666666666666664
What was the structure made out of,Clay bricks,3PPTZCWALQJZ3GZWX46XOBWXC0BZQG,I wish to learn about the camp,high,What was the structure made out of,Clay bricks,"['Existence', 'Reasoning']",['scene'],"[{0: [41.108, 43.146]}, {1: [23.733, 25.626]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:41.108', '00:43.146']}, {1: ['00:23.733', '00:25.626']}]",1136.0,https://www.dropbox.com/s/1i4d8yqyvy7f2ar/Survival-Skills-Primitive_11-clip-0.mp4?raw=1,Survival-Skills-Primitive_11-clip-0,"{'frames': {'start': '00:00:00.000', 'end': '00:01:00.667'}, 'seconds': {'start': '0.0', 'end': '60.666666666666664'}, 'split-method': 'auto'}",60.666666666666664
What is the man doing?,Carving a holder for the knife,39O5D9O87TRUOMIK7FAT0521TQC3CJ,I wish to learn about the man,high,What is the man doing?,Carving a holder for the knife,['Reasoning'],['scene'],"[{0: [33.308, 35.159]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:33.308', '00:35.159']}]",798.0,https://www.dropbox.com/s/47q22r08ol48n2d/Bertram-Craft_0-clip-8.mp4?raw=1,Bertram-Craft_0-clip-8,"{'frames': {'start': '00:09:19.768', 'end': '00:10:45.436'}, 'seconds': {'start': '559.7675416666666', 'end': '645.4364583333332'}, 'split-method': 'auto'}",85.66891666666663
What is the knife holder for?,To prevent the knife from jostling around,39O5D9O87TRUOMIK7FAT0521TQC3CJ,I wish to learn about the man,moderate,What is the knife holder for?,To prevent the knife from jostling around,['Reasoning'],['scene'],"[{0: [52.566, 55.582]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:52.566', '00:55.582']}]",798.0,https://www.dropbox.com/s/47q22r08ol48n2d/Bertram-Craft_0-clip-8.mp4?raw=1,Bertram-Craft_0-clip-8,"{'frames': {'start': '00:09:19.768', 'end': '00:10:45.436'}, 'seconds': {'start': '559.7675416666666', 'end': '645.4364583333332'}, 'split-method': 'auto'}",85.66891666666663
What kind of ground is there?,Sandy beach,39O5D9O87TRUOMIK7FAT0521TQC3CJ,I wish to learn about the terrain,high,What kind of ground is there?,Sandy beach,['Existence'],['scene'],"[{0: [2.518, 4.008]}, {1: [46.143, 48.661]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:02.518', '00:04.008']}, {1: ['00:46.143', '00:48.661']}]",798.0,https://www.dropbox.com/s/b63zpwusw0ih69e/Chad-Zuber_7-clip-7.mp4?raw=1,Chad-Zuber_7-clip-7,"{'frames': {'start': '00:07:45.965', 'end': '00:08:50.196'}, 'seconds': {'start': '465.96519633537986', 'end': '530.1959878101816'}, 'split-method': 'auto'}",64.23079147480172
What kind of body of water is there?,Ocean,39O5D9O87TRUOMIK7FAT0521TQC3CJ,I wish to learn about the terrain,high,What kind of body of water is there?,Ocean,"['Existence', 'Reasoning']",['scene'],"[{0: [45.373, 46.966]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:45.373', '00:46.966']}]",798.0,https://www.dropbox.com/s/b63zpwusw0ih69e/Chad-Zuber_7-clip-7.mp4?raw=1,Chad-Zuber_7-clip-7,"{'frames': {'start': '00:07:45.965', 'end': '00:08:50.196'}, 'seconds': {'start': '465.96519633537986', 'end': '530.1959878101816'}, 'split-method': 'auto'}",64.23079147480172
What kind of structures are there?,Tent,39O5D9O87TRUOMIK7FAT0521TQC3CJ,I wish to learn about the terrain,high,What kind of structures are there?,Tent,['Existence'],['scene'],"[{0: [25.641, 27.491]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:25.641', '00:27.491']}]",798.0,https://www.dropbox.com/s/b63zpwusw0ih69e/Chad-Zuber_7-clip-7.mp4?raw=1,Chad-Zuber_7-clip-7,"{'frames': {'start': '00:07:45.965', 'end': '00:08:50.196'}, 'seconds': {'start': '465.96519633537986', 'end': '530.1959878101816'}, 'split-method': 'auto'}",64.23079147480172
What has been built here?,A shelter and a log holder,39O5D9O87TRUOMIK7FAT0521TQC3CJ,I wish to learn about the constructions,high,What has been built here?,A shelter and a log holder,['Existence'],['scene'],"[{0: [5.445, 6.98]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:05.445', '00:06.980']}]",798.0,https://www.dropbox.com/s/760rgdsox3xrjj1/Survival-Instinct_8-clip-4.mp4?raw=1,Survival-Instinct_8-clip-4,"{'frames': {'start': '00:04:12.480', 'end': '00:05:14.360'}, 'seconds': {'start': '252.48', 'end': '314.36'}, 'split-method': 'auto'}",61.880000000000024
What are the shelter and the log holder made out of?,Sticks and leaves,39O5D9O87TRUOMIK7FAT0521TQC3CJ,I wish to learn about the constructions,high,What are the shelter and the log holder made out of?,Sticks and leaves,"['Existence', 'Reasoning']",['scene'],"[{0: [21.93, 23.613]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:21.930', '00:23.613']}]",798.0,https://www.dropbox.com/s/760rgdsox3xrjj1/Survival-Instinct_8-clip-4.mp4?raw=1,Survival-Instinct_8-clip-4,"{'frames': {'start': '00:04:12.480', 'end': '00:05:14.360'}, 'seconds': {'start': '252.48', 'end': '314.36'}, 'split-method': 'auto'}",61.880000000000024
What kind of shelter is there?,Tent,39O5D9O87TRUOMIK7FAT0521TQC3CJ,I wish to learn about the camp,high,What kind of shelter is there?,Tent,['Existence'],['scene'],"[{0: [27.344, 29.926]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:27.344', '00:29.926']}]",798.0,https://www.dropbox.com/s/x9o9if18def7t9w/Bertram-Craft_12-clip-25.mp4?raw=1,Bertram-Craft_12-clip-25,"{'frames': {'start': '00:31:25.717', 'end': '00:32:31.575'}, 'seconds': {'start': '1885.7171666666666', 'end': '1951.574625'}, 'split-method': 'auto'}",65.8574583333334
What kind of tools are at the camp?,A knife and a handsaw,39O5D9O87TRUOMIK7FAT0521TQC3CJ,I wish to learn about the camp,high,What kind of tools are at the camp?,A knife an a handsaw,['Existence'],['scene'],"[{0: [10.168, 11.327]}, {1: [43.308, 45.257]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:10.168', '00:11.327']}, {1: ['00:43.308', '00:45.257']}]",798.0,https://www.dropbox.com/s/x9o9if18def7t9w/Bertram-Craft_12-clip-25.mp4?raw=1,Bertram-Craft_12-clip-25,"{'frames': {'start': '00:31:25.717', 'end': '00:32:31.575'}, 'seconds': {'start': '1885.7171666666666', 'end': '1951.574625'}, 'split-method': 'auto'}",65.8574583333334
What color was the bird?,Brown with black spots,39O5D9O87TRUOMIK7FAT0521TQC3CJ,I wish to learn about the bird,high,What color was the bird?,Brown with black spots,['Existence'],['scene'],"[{0: [25.683, 27.809]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:25.683', '00:27.809']}]",798.0,https://www.dropbox.com/s/rigr5eg2e8hdbq6/Survival-Instinct_5-clip-12.mp4?raw=1,Survival-Instinct_5-clip-12,"{'frames': {'start': '00:13:07.800', 'end': '00:14:15.960'}, 'seconds': {'start': '787.8', 'end': '855.96'}, 'split-method': 'auto'}",68.16000000000008
What did the man do with the bird?,Tied it's legs together,39O5D9O87TRUOMIK7FAT0521TQC3CJ,I wish to learn about the bird,high,What did the man do with the bird?,Tied it's legs together,['Reasoning'],['scene'],"[{0: [63.852, 65.161]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['01:03.852', '01:05.161']}]",798.0,https://www.dropbox.com/s/rigr5eg2e8hdbq6/Survival-Instinct_5-clip-12.mp4?raw=1,Survival-Instinct_5-clip-12,"{'frames': {'start': '00:13:07.800', 'end': '00:14:15.960'}, 'seconds': {'start': '787.8', 'end': '855.96'}, 'split-method': 'auto'}",68.16000000000008
What is he doing?,Improving his shelter,33M4IA01QG0AAMEH917CWGQR0MFXRI,I wish to learn about the man,high,What is he doing?,Improving his shelter,['Reasoning'],['audio'],"[{0: [22.811, 26.811]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:22.811', '00:26.811']}]",934.0,https://www.dropbox.com/s/l2mlj75bygk79mo/Joe-Robinet_7-clip-0.mp4?raw=1,Joe-Robinet_7-clip-0,"{'frames': {'start': '00:00:00.000', 'end': '00:02:15.135'}, 'seconds': {'start': '0.0', 'end': '135.135'}, 'split-method': 'auto'}",135.135
What is the man wearing?,"Camo pants, t-shirt, hat and gloves",33M4IA01QG0AAMEH917CWGQR0MFXRI,I wish to learn about the man,high,What is the man wearing?,"Camo pants, t-shirt, hat and gloves",['Existence'],['scene'],"[{0: [24.432, 26.27]}, {1: [65.405, 68.216]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:24.432', '00:26.270']}, {1: ['01:05.405', '01:08.216']}]",934.0,https://www.dropbox.com/s/l2mlj75bygk79mo/Joe-Robinet_7-clip-0.mp4?raw=1,Joe-Robinet_7-clip-0,"{'frames': {'start': '00:00:00.000', 'end': '00:02:15.135'}, 'seconds': {'start': '0.0', 'end': '135.135'}, 'split-method': 'auto'}",135.135
What type of terrain is it?,forest,33M4IA01QG0AAMEH917CWGQR0MFXRI,I wish to learn about the environment,moderate,What type of terrain is it?,forest,"['Existence', 'Reasoning']",['scene'],"[{0: [20.067, 22.27]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:20.067', '00:22.270']}]",934.0,https://www.dropbox.com/s/dyot1l740rvhgh8/Survival-Skills-Primitive_2-clip-2.mp4?raw=1,Survival-Skills-Primitive_2-clip-2,"{'frames': {'start': '00:02:05.600', 'end': '00:03:20.033'}, 'seconds': {'start': '125.6', 'end': '200.03333333333333'}, 'split-method': 'auto'}",74.43333333333334
Are there any structures around?,"Yes, a stone structure",33M4IA01QG0AAMEH917CWGQR0MFXRI,I wish to learn about the environment,moderate,Are there any structures around?,Yes a stone structure,['Existence'],['scene'],"[{0: [15.423, 17.269]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:15.423', '00:17.269']}]",934.0,https://www.dropbox.com/s/dyot1l740rvhgh8/Survival-Skills-Primitive_2-clip-2.mp4?raw=1,Survival-Skills-Primitive_2-clip-2,"{'frames': {'start': '00:02:05.600', 'end': '00:03:20.033'}, 'seconds': {'start': '125.6', 'end': '200.03333333333333'}, 'split-method': 'auto'}",74.43333333333334
What is the man doing?,Cutting up a cactus for food,33M4IA01QG0AAMEH917CWGQR0MFXRI,I wish to learn about the man,high,What is the man doing?,Cutting up a cactus for food,['Reasoning'],['scene'],"[{0: [8.32, 10.709]}, {1: [89.212, 93.372]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:08.320', '00:10.709']}, {1: ['01:29.212', '01:33.372']}]",934.0,https://www.dropbox.com/s/9ap6rzj0nzv74xs/Chad-Zuber_11-clip-1.mp4?raw=1,Chad-Zuber_11-clip-1,"{'frames': {'start': '00:01:00.367', 'end': '00:02:36.667'}, 'seconds': {'start': '60.36666666666667', 'end': '156.66666666666666'}, 'split-method': 'auto'}",96.29999999999998
What tools is the man using?,A knife and his hands,33M4IA01QG0AAMEH917CWGQR0MFXRI,I wish to learn about the man,high,What tools is the man using?,A knife and his hands,"['Existence', 'Reasoning']",['scene'],"[{0: [11.787, 13.636]}, {1: [72.649, 74.729]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:11.787', '00:13.636']}, {1: ['01:12.649', '01:14.729']}]",934.0,https://www.dropbox.com/s/9ap6rzj0nzv74xs/Chad-Zuber_11-clip-1.mp4?raw=1,Chad-Zuber_11-clip-1,"{'frames': {'start': '00:01:00.367', 'end': '00:02:36.667'}, 'seconds': {'start': '60.36666666666667', 'end': '156.66666666666666'}, 'split-method': 'auto'}",96.29999999999998
What is the man doing?,Surviving in the desert,33M4IA01QG0AAMEH917CWGQR0MFXRI,I wish to learn about the man,moderate,What is the man doing?,Surviving in the desert,['Reasoning'],"['audio', 'scene']","[{0: [16.742, 21.207]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:16.742', '00:21.207']}]",934.0,https://www.dropbox.com/s/crywm1zpgnlksz2/Chad-Zuber_5-clip-0.mp4?raw=1,Chad-Zuber_5-clip-0,"{'frames': {'start': '00:00:00.000', 'end': '00:01:00.661'}, 'seconds': {'start': '0.0', 'end': '60.6606'}, 'split-method': 'auto'}",60.6606
What is the man trying to make?,Bricks for building,33M4IA01QG0AAMEH917CWGQR0MFXRI,I wish to learn about the man,high,What is the man trying to make?,Bricks for building,"['Existence', 'Reasoning']","['audio', 'scene']","[{0: [30.476, 33.436]}, {1: [40.036, 44.986]}]",Human Survival,A2KD4I8N1E3F0B,"[{0: ['00:30.476', '00:33.436']}, {1: ['00:40.036', '00:44.986']}]",934.0,https://www.dropbox.com/s/crywm1zpgnlksz2/Chad-Zuber_5-clip-0.mp4?raw=1,Chad-Zuber_5-clip-0,"{'frames': {'start': '00:00:00.000', 'end': '00:01:00.661'}, 'seconds': {'start': '0.0', 'end': '60.6606'}, 'split-method': 'auto'}",60.6606
